,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
15,10888994,9,Chartrons - Grand Parc - Jardin Public,100%,100%,Entire home/apt,26,80.0,"['email', 'phone']",1 bath,1000.0,Aline,2204876,1.0,bath,2204876
16,1029070,500,Bordeaux Sud,98%,100%,Entire home/apt,46,78.0,"['email', 'phone']",1 bath,1000.0,Louis,1188231,1.0,bath,1188231
17,6056113,43,Bordeaux Sud,90%,88%,Entire home/apt,27,220.0,"['email', 'phone']",3 baths,273.0,Nathalie,1196034,3.0,baths,1196034
19,4496051,27,Centre ville (Bordeaux),0%,100%,Entire home/apt,19,90.0,"['email', 'phone']",1.5 baths,1000.0,Anne,1196311,1.5,baths,1196311
22,1847986,50,Bgles,86%,100%,Entire home/apt,59,85.0,['phone'],1 bath,1000.0,Damien,365993,1.0,bath,365993
23,6571433,516,Centre ville (Bordeaux),100%,100%,Entire home/apt,51,153.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Antoine,1203069,2.0,baths,1203069
24,9477089,129,Centre ville (Bordeaux),100%,100%,Private room,13,48.0,"['email', 'phone']",1 private bath,813.0,Stephane,2231377,1.0,private bath,2231377
27,4057188,634,Saint Augustin - Tauzin - Alphonse Dupeux,98%,100%,Entire home/apt,30,65.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Virginie,2248994,1.0,bath,2248994
29,2171100,288,Chartrons - Grand Parc - Jardin Public,95%,100%,Private room,24,46.0,"['email', 'phone', 'work_email']",1 shared bath,509.0,Christophe,437127,1.0,shared bath,437127
30,6604469,31,Lormont,33%,100%,Entire home/apt,36,150.0,"['email', 'phone']",1 bath,921.0,Olivier,1209361,1.0,bath,1209361
31,6616722,133,Centre ville (Bordeaux),100%,100%,Entire home/apt,31,160.0,"['email', 'phone']",2 baths,1000.0,Lily,1211924,2.0,baths,1211924
32,11605863,62,Saint Augustin - Tauzin - Alphonse Dupeux,73%,70%,Entire home/apt,24,49.0,"['email', 'phone']",1 bath,1000.0,Cathy,2273201,1.0,bath,2273201
33,2171100,261,Chartrons - Grand Parc - Jardin Public,95%,100%,Private room,21,31.0,"['email', 'phone', 'work_email']",1 shared bath,1000.0,Christophe,438600,1.0,shared bath,438600
34,9382960,7,Centre ville (Bordeaux),93%,94%,Entire home/apt,26,68.0,"['email', 'phone']",1.5 baths,1000.0,Kareen,2317125,1.5,baths,2317125
36,6693475,25,Saint-Mdard-en-Jalles,0%,100%,Entire home/apt,46,80.0,"['email', 'phone']",1 bath,1000.0,Cristina,1227141,1.0,bath,1227141
37,1029070,503,Bordeaux Sud,98%,100%,Entire home/apt,48,65.0,"['email', 'phone']",1 bath,1000.0,Louis,1241376,1.0,bath,1241376
38,9382960,22,Centre ville (Bordeaux),93%,94%,Entire home/apt,37,223.0,"['email', 'phone']",2 baths,1000.0,Kareen,2322866,2.0,baths,2322866
39,5563943,953,Centre ville (Bordeaux),93%,100%,Entire home/apt,26,99.0,"['email', 'phone']",1 bath,1000.0,Xavier,1242294,1.0,bath,1242294
40,2273643,23,Talence,33%,100%,Entire home/apt,25,75.0,"['email', 'phone']",1 bath,923.0,Nadine,457462,1.0,bath,457462
41,2274580,78,Talence,69%,100%,Entire home/apt,17,80.0,"['email', 'phone']",1 bath,1000.0,Christine,457640,1.0,bath,457640
43,2387430,371,Le Bouscat,83%,93%,Entire home/apt,51,215.0,"['email', 'phone']",2 baths,834.0,Frederic,482102,2.0,baths,482102
46,2468244,264,Bordeaux Sud,85%,100%,Entire home/apt,28,100.0,"['email', 'phone']",1 bath,1000.0,Audrey,500193,1.0,bath,500193
47,7896753,180,Bordeaux Sud,100%,100%,Private room,20,40.0,"['email', 'phone']",1 shared bath,1000.0,Patricia Et Claude,2384060,1.0,shared bath,2384060
48,2680968,71,Chartrons - Grand Parc - Jardin Public,65%,100%,Entire home/apt,40,230.0,"['email', 'phone']",2 baths,1000.0,Jeanne,545440,2.0,baths,545440
51,6870069,34,Bordeaux Maritime,0%,100%,Entire home/apt,29,110.0,"['email', 'phone', 'work_email']",1 bath,585.0,Jessica,1261354,1.0,bath,1261354
52,9116145,369,La Bastide,87%,100%,Private room,37,52.0,"['email', 'phone', 'work_email']",1 shared bath,975.0,Gaetan & Greg,2402008,1.0,shared bath,2402008
53,6893670,68,Saint-Mdard-en-Jalles,85%,100%,Entire home/apt,28,90.0,"['email', 'phone']",1 bath,527.0,Françoise,1266428,1.0,bath,1266428
54,6935270,534,Centre ville (Bordeaux),98%,100%,Entire home/apt,29,96.0,"['email', 'phone']",1 bath,1000.0,Fred,1274080,1.0,bath,1274080
55,2964570,105,Centre ville (Bordeaux),100%,100%,Entire home/apt,33,132.0,"['email', 'phone']",1 bath,1000.0,Vincent,599263,1.0,bath,599263
57,9400972,35,Bruges,76%,100%,Private room,15,40.0,"['email', 'phone']",1 shared bath,1000.0,Corine,2404231,1.0,shared bath,2404231
59,7107427,59,Lormont,70%,100%,Private room,29,24.0,"['email', 'phone']",1 shared 1 half-bath,946.0,Ben,1308250,1.0,shared 1 half-bath,1308250
60,3378979,158,Centre ville (Bordeaux),100%,100%,Entire home/apt,44,101.0,"['email', 'phone']",1 bath,1000.0,Xavier,667763,1.0,bath,667763
61,9400972,32,Bruges,76%,100%,Private room,15,40.0,"['email', 'phone']",1 shared bath,1000.0,Corine,2406128,1.0,shared bath,2406128
62,10612698,33,Caudran,69%,100%,Entire home/apt,27,160.0,"['email', 'phone']",2 baths,403.0,Magali,2436520,2.0,baths,2436520
63,3430725,2,Centre ville (Bordeaux),0%,100%,Entire home/apt,17,110.0,"['email', 'phone']",1 bath,1000.0,Aurélia,2482044,1.0,bath,2482044
64,3396304,17,Saint Augustin - Tauzin - Alphonse Dupeux,80%,100%,Entire home/apt,40,70.0,"['email', 'phone']",1 bath,1000.0,Françoise,670292,1.0,bath,670292
65,3746923,13,Saint Augustin - Tauzin - Alphonse Dupeux,100%,100%,Entire home/apt,55,80.0,"['phone', 'work_email']",1 bath,1000.0,Elisabeth,1321105,1.0,bath,1321105
66,7183066,7,Centre ville (Bordeaux),100%,100%,Entire home/apt,44,158.0,"['email', 'phone']",1 bath,1000.0,M,1323347,1.0,bath,1323347
67,7107427,97,Lormont,70%,100%,Private room,29,24.0,"['email', 'phone']",1 shared 1 half-bath,1000.0,Ben,1330588,1.0,shared 1 half-bath,1330588
69,3746923,117,Saint Augustin - Tauzin - Alphonse Dupeux,100%,100%,Private room,50,47.0,"['phone', 'work_email']",1 private bath,1000.0,Elisabeth,724856,1.0,private bath,724856
73,4178213,171,Magonty,61%,100%,Entire home/apt,42,149.0,"['email', 'phone']",1 bath,412.0,David,792947,1.0,bath,792947
74,4181425,330,Bordeaux Sud,97%,100%,Entire home/apt,26,85.0,"['email', 'phone']",1 bath,677.0,Christine,793746,1.0,bath,793746
75,29102137,38,Bordeaux Sud,99%,91%,Entire home/apt,31,80.0,"['email', 'phone']",1.5 baths,1000.0,L.C.B,1355740,1.5,baths,1355740
76,12888245,32,Talence,70%,89%,Entire home/apt,23,200.0,"['email', 'phone']",2 baths,483.0,Stephanie,2517422,2.0,baths,2517422
77,7354091,50,Bordeaux Sud,69%,100%,Entire home/apt,38,30.0,"['email', 'phone']",1 bath,969.0,Deborah,1355836,1.0,bath,1355836
78,4181425,542,Bordeaux Sud,97%,100%,Entire home/apt,31,85.0,"['email', 'phone']",1 bath,664.0,Christine,801440,1.0,bath,801440
80,4273204,0,Palmer-Gravires-Cavailles,0%,0%,Private room,25,66.0,"['email', 'phone']",1 private bath,1000.0,Alain,813125,1.0,private bath,813125
81,7417559,0,Gradignan,0%,0%,Private room,9,77.0,['email'],1 bath,120.0,Christian,1367124,1.0,bath,1367124
82,3170753,131,Chartrons - Grand Parc - Jardin Public,100%,100%,Entire home/apt,24,97.0,"['email', 'phone']",1 bath,905.0,Marième,2519743,1.0,bath,2519743
83,7442737,4,La Bastide,55%,100%,Private room,29,115.0,"['email', 'phone']",1 bath,1000.0,Patricia,1372795,1.0,bath,1372795
85,7442737,6,La Bastide,55%,100%,Private room,9,105.0,"['email', 'phone']",1 private bath,1000.0,Patricia,1384894,1.0,private bath,1384894
87,12917011,528,Centre ville (Bordeaux),99%,100%,Entire home/apt,25,119.0,"['email', 'phone']",1.5 baths,813.0,Stephane,2522837,1.5,baths,2522837
88,1909665,39,Carbon-Blanc,100%,100%,Private room,42,35.0,['phone'],1 shared 1 half-bath,1000.0,Gisèle Et Guy,837713,1.0,shared 1 half-bath,837713
89,4310833,63,Centre ville (Bordeaux),99%,100%,Entire home/apt,23,119.0,"['email', 'phone']",1 bath,750.0,Jean-Christophe,845788,1.0,bath,845788
90,4310833,27,Chartrons - Grand Parc - Jardin Public,99%,100%,Entire home/apt,23,120.0,"['email', 'phone']",1 bath,819.0,Jean-Christophe,845807,1.0,bath,845807
91,4310833,35,Chartrons - Grand Parc - Jardin Public,99%,100%,Entire home/apt,22,120.0,"['email', 'phone']",1 bath,808.0,Jean-Christophe,845815,1.0,bath,845815
92,7618574,45,Saint-Mdard-en-Jalles,89%,100%,Entire home/apt,39,45.0,"['email', 'phone', 'work_email']",1 bath,802.0,Cédric,1413371,1.0,bath,1413371
93,12929499,171,Nansouty - Saint Gens,91%,90%,Entire home/apt,39,70.0,"['email', 'phone']",1 bath,1000.0,Maxime,2525201,1.0,bath,2525201
95,7651794,25,Centre ville (Bordeaux),44%,100%,Entire home/apt,13,99.0,"['email', 'phone']",1 bath,1000.0,Lionel,1421443,1.0,bath,1421443
96,1924713,82,Caudran,86%,100%,Entire home/apt,32,391.0,"['email', 'phone']",3 baths,1000.0,Jean-François,856891,3.0,baths,856891
97,13036563,21,Centre ville (Bordeaux),55%,100%,Entire home/apt,39,87.0,"['email', 'phone']",1 bath,820.0,Emma,2546284,1.0,bath,2546284
98,4543023,104,La Glacire,100%,100%,Entire home/apt,38,88.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Jean Guillaume,865244,1.0,bath,865244
99,7721160,16,Bordeaux Sud,67%,100%,Entire home/apt,79,232.0,"['email', 'phone']",2 baths,1000.0,J-M,1437355,2.0,baths,1437355
100,10425012,17,Saint Augustin - Tauzin - Alphonse Dupeux,80%,100%,Entire home/apt,9,129.0,"['email', 'phone']",1 bath,551.0,Stephanie,2562812,1.0,bath,2562812
101,29102137,67,Centre ville (Bordeaux),99%,91%,Entire home/apt,25,80.0,"['email', 'phone']",1.5 baths,1000.0,L.C.B,1440894,1.5,baths,1440894
102,4561878,95,Bordeaux Sud,96%,100%,Entire home/apt,40,142.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Béatrice & Sébastien,867488,2.0,baths,867488
103,2223054,97,Centre ville (Bordeaux),97%,100%,Entire home/apt,21,80.0,"['email', 'phone']",1 bath,1000.0,Didier,2598374,1.0,bath,2598374
104,4561878,76,Bordeaux Sud,96%,100%,Entire home/apt,36,110.0,"['email', 'phone', 'work_email']",4 baths,1000.0,Béatrice & Sébastien,872870,4.0,baths,872870
105,4561878,71,Bordeaux Sud,96%,100%,Entire home/apt,35,91.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Béatrice & Sébastien,872948,2.0,baths,872948
106,4561878,40,Bordeaux Sud,96%,100%,Entire home/apt,31,55.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Béatrice & Sébastien,872979,1.0,bath,872979
107,4751437,7,Nansouty - Saint Gens,71%,50%,Private room,27,50.0,"['email', 'phone']",1 private bath,488.0,Elodie & Charlotte,1454611,1.0,private bath,1454611
108,148638642,9,Bordeaux Sud,100%,100%,Entire home/apt,37,70.0,"['email', 'phone']",1 bath,1000.0,Tatiana,1487621,1.0,bath,1487621
109,1029070,449,Bordeaux Sud,98%,100%,Entire home/apt,33,65.0,"['email', 'phone']",1 bath,1000.0,Louis,1499802,1.0,bath,1499802
110,11534444,155,Centre ville (Bordeaux),100%,100%,Entire home/apt,38,120.0,"['email', 'phone']",1 bath,1000.0,Gaëllane,2604928,1.0,bath,2604928
111,8248228,13,Chiquet-Fontaudin,75%,100%,Entire home/apt,30,50.0,"['email', 'phone']",1.5 baths,1000.0,Mathieu,1547915,1.5,baths,1547915
112,4639813,2,France Alouette,100%,100%,Private room,25,135.0,"['email', 'phone', 'work_email']",1 private bath,950.0,Isabelle,878032,1.0,private bath,878032
114,4561878,25,Bordeaux Sud,96%,100%,Entire home/apt,45,760.0,"['email', 'phone', 'work_email']",8 baths,1000.0,Béatrice & Sébastien,880024,8.0,baths,880024
115,13782771,19,Eysines,75%,100%,Entire home/apt,34,300.0,"['email', 'phone']",2 baths,493.0,Morgan,2693188,2.0,baths,2693188
116,4561878,24,Gradignan,96%,100%,Entire home/apt,25,41.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Béatrice & Sébastien,880178,1.0,bath,880178
117,4561878,3,Gradignan,96%,100%,Entire home/apt,35,294.0,"['email', 'phone', 'work_email']",3 baths,1000.0,Béatrice & Sébastien,881775,3.0,baths,881775
118,4800008,9,La Bastide,13%,25%,Entire home/apt,23,150.0,"['email', 'phone']",2 baths,1000.0,Pauline,1585274,2.0,baths,1585274
120,14108597,237,Chartrons - Grand Parc - Jardin Public,100%,100%,Entire home/apt,22,231.0,"['email', 'phone']",2 baths,307.0,Arièle,2758236,2.0,baths,2758236
122,8586420,95,Centre ville (Bordeaux),81%,100%,Private room,31,75.0,"['email', 'phone']",1 private bath,644.0,Iñaki,1612990,1.0,private bath,1612990
123,4561878,29,Gradignan,96%,100%,Entire home/apt,32,380.0,"['email', 'phone', 'work_email']",5 baths,1000.0,Béatrice & Sébastien,881940,5.0,baths,881940
124,992322,4,Caudran,75%,100%,Private room,6,70.0,"['email', 'phone']",1 bath,674.0,Francoise,888556,1.0,bath,888556
125,8213752,259,Centre ville (Bordeaux),94%,100%,Entire home/apt,39,59.0,"['email', 'phone']",1 bath,1000.0,Laurent,2808914,1.0,bath,2808914
126,4904893,9,Ambars-et-Lagrave,0%,75%,Private room,25,25.0,"['email', 'phone']",1 shared bath,733.0,Nicolas,913857,1.0,shared bath,913857
129,8505152,0,Saint-Aubin-de-Mdoc,55%,90%,Entire home/apt,8,450.0,"['email', 'phone']",3 baths,264.0,Laurent,1679033,3.0,baths,1679033
131,8526889,2,Talence,77%,100%,Private room,44,28.0,"['email', 'phone']",1 shared bath,570.0,Louise-Marie,1765419,1.0,shared bath,1765419
132,4951342,27,Talence,67%,100%,Private room,31,32.0,"['email', 'phone']",1 shared bath,1000.0,Jean-Francois,921237,1.0,shared bath,921237
134,2468244,305,Bordeaux Sud,85%,100%,Private room,24,50.0,"['email', 'phone']",1 shared bath,1000.0,Audrey,939481,1.0,shared bath,939481
135,9328192,43,Centre ville (Bordeaux),87%,100%,Entire home/apt,39,250.0,"['email', 'phone']",3 baths,1000.0,Florent,1776648,3.0,baths,1776648
137,9382960,7,Centre ville (Bordeaux),93%,94%,Entire home/apt,27,119.0,"['email', 'phone']",1.5 baths,1000.0,Kareen,1791040,1.5,baths,1791040
138,9382960,14,Centre ville (Bordeaux),93%,94%,Entire home/apt,34,119.0,"['email', 'phone']",1.5 baths,1000.0,Kareen,1791884,1.5,baths,1791884
139,2658645,61,Centre ville (Bordeaux),84%,100%,Entire home/apt,50,180.0,"['email', 'phone']",2 baths,1000.0,Charlotte,964043,2.0,baths,964043
140,9850823,4,Caudran,0%,100%,Entire home/apt,22,120.0,"['email', 'phone']",2 baths,789.0,Laurence,2878090,2.0,baths,2878090
141,5499035,6,France Alouette,100%,100%,Private room,46,100.0,"['email', 'phone']",1 private bath,1000.0,Isabelle,1000233,1.0,private bath,1000233
145,7914769,9,Talence,87%,50%,Entire home/apt,19,90.0,"['email', 'phone']",1 bath,498.0,Laure,2888908,1.0,bath,2888908
146,6599376,51,Bordeaux Sud,33%,100%,Entire home/apt,33,90.0,"['email', 'phone']",1 bath,829.0,Camille,1845964,1.0,bath,1845964
147,5541484,188,Centre ville (Bordeaux),97%,100%,Entire home/apt,30,200.0,"['email', 'phone']",2 baths,1000.0,Thierry D,1007407,2.0,baths,1007407
148,14850260,62,Eysines,89%,100%,Entire home/apt,30,80.0,"['email', 'phone']",1 bath,417.0,Adrienne,2906810,1.0,bath,2906810
149,5113450,396,La Glacire,100%,100%,Private room,34,61.0,"['email', 'phone']",1 private bath,1000.0,Lila,1025361,1.0,private bath,1025361
150,5058811,77,Bgles,86%,100%,Private room,13,43.0,"['email', 'phone']",1 private bath,330.0,Jérôme,1873856,1.0,private bath,1873856
151,4310833,92,Centre ville (Bordeaux),99%,100%,Entire home/apt,25,486.0,"['email', 'phone']",1.5 baths,479.0,Jean-Christophe,1890659,1.5,baths,1890659
152,1029070,337,Bordeaux Sud,98%,100%,Entire home/apt,47,67.0,"['email', 'phone']",1 bath,751.0,Louis,1926172,1.0,bath,1926172
154,5748061,101,Bordeaux Sud,100%,100%,Entire home/apt,23,73.0,"['email', 'phone']",1 bath,1000.0,Marion,1043978,1.0,bath,1043978
156,5954504,43,Centre ville (Bordeaux),96%,100%,Entire home/apt,32,149.0,"['email', 'phone']",2 baths,1000.0,Nicole,1083031,2.0,baths,1083031
158,14964518,9,Blanquefort,96%,100%,Private room,8,25.0,"['email', 'phone']",1 shared bath,257.0,Sabine,2930463,1.0,shared bath,2930463
159,10034489,5,Bordeaux Sud,83%,100%,Entire home/apt,42,450.0,"['email', 'phone']",4 baths,1000.0,Alain - Didier,1939935,4.0,baths,1939935
160,15034132,156,Bgles,89%,100%,Entire home/apt,27,80.0,"['email', 'phone']",2 baths,923.0,Nadine,2944617,2.0,baths,2944617
162,3973708,134,Saint Augustin - Tauzin - Alphonse Dupeux,54%,100%,Entire home/apt,25,259.0,"['email', 'phone']",4.5 baths,1000.0,Alexandra,1086736,4.5,baths,1086736
163,15044478,40,Bordeaux Sud,58%,100%,Entire home/apt,30,104.0,"['email', 'phone']",1 bath,806.0,Anne,2946948,1.0,bath,2946948
164,6036342,3,Talence,0%,50%,Entire home/apt,28,329.0,"['email', 'phone']",3 baths,828.0,Sébastien,1098462,3.0,baths,1098462
165,10226460,38,Centre ville (Bordeaux),100%,100%,Entire home/apt,33,68.0,"['email', 'phone']",1 bath,858.0,Carolle,1981739,1.0,bath,1981739
166,8807194,8,Chartrons - Grand Parc - Jardin Public,40%,100%,Entire home/apt,20,300.0,"['email', 'phone']",3 baths,365.0,Gerard Et Marion,1981799,3.0,baths,1981799
167,11905962,50,Talence,73%,90%,Private room,24,26.0,"['email', 'phone']",1 shared bath,383.0,Mathilde,2949170,1.0,shared bath,2949170
168,6087321,3,Saint-Mdard-en-Jalles,0%,0%,Entire home/apt,33,247.0,"['email', 'phone']",2 baths,1000.0,Pierre,1108832,2.0,baths,1108832
169,6088135,54,Le Bouscat,93%,100%,Entire home/apt,75,250.0,"['email', 'phone']",3 baths,804.0,Veronique,1109000,3.0,baths,1109000
170,10291316,322,Chartrons - Grand Parc - Jardin Public,18%,96%,Entire home/apt,28,100.0,"['email', 'phone']",1 bath,593.0,Xavier,1997144,1.0,bath,1997144
171,10034489,21,Floirac,83%,100%,Entire home/apt,26,138.0,"['email', 'phone']",1 bath,775.0,Alain - Didier,2024975,1.0,bath,2024975
172,15079448,33,Talence,68%,100%,Private room,42,45.0,"['email', 'phone']",1 private bath,1000.0,Anne,2953947,1.0,private bath,2953947
173,10423832,78,Nansouty - Saint Gens,39%,75%,Entire home/apt,31,90.0,"['email', 'phone']",1 bath,679.0,Christophe,2029668,1.0,bath,2029668
174,6068524,19,Nansouty - Saint Gens,68%,100%,Entire home/apt,52,281.0,"['email', 'phone']",2 baths,1000.0,Audrey,1109639,2.0,baths,1109639
175,15090648,21,Centre ville (Bordeaux),97%,100%,Entire home/apt,28,440.0,"['email', 'phone']",2 baths,1000.0,Eric,2964957,2.0,baths,2964957
177,10798726,137,Chartrons - Grand Parc - Jardin Public,100%,94%,Entire home/apt,33,280.0,"['email', 'phone']",3 baths,534.0,Julien & Laure-Hélène,2118428,3.0,baths,2118428
178,15188630,62,Bordeaux Sud,84%,100%,Private room,28,31.0,"['email', 'phone']",1 shared bath,1000.0,Typhaine,2977855,1.0,shared bath,2977855
179,10943963,337,La Bastide,75%,100%,Entire home/apt,20,95.0,"['email', 'phone']",1 bath,980.0,Rozenn,2144094,1.0,bath,2144094
180,9382960,1,Centre ville (Bordeaux),93%,94%,Entire home/apt,25,127.0,"['email', 'phone']",1 bath,1000.0,Kareen,3706599,1.0,bath,3706599
181,14646807,2,Bordeaux Sud,65%,100%,Private room,26,65.0,"['email', 'phone']",1 private bath,1000.0,Anne,3081949,1.0,private bath,3081949
184,9382960,2,Centre ville (Bordeaux),93%,94%,Entire home/apt,25,70.0,"['email', 'phone']",2.5 baths,1000.0,Kareen,3709245,2.5,baths,3709245
185,6275823,56,Bourran,100%,100%,Private room,49,35.0,"['email', 'phone']",1 shared bath,1000.0,Aude Et Annie,2992161,1.0,shared bath,2992161
186,18982647,115,Centre ville (Bordeaux),88%,100%,Entire home/apt,32,96.0,"['email', 'phone']",1 bath,889.0,Gregory,3717878,1.0,bath,3717878
187,2735557,440,Floirac,91%,100%,Entire home/apt,33,42.0,"['email', 'phone', 'work_email']",1 bath,379.0,Thomas,3718301,1.0,bath,3718301
188,15881997,2,Le Bouscat,100%,100%,Entire home/apt,50,188.0,"['email', 'phone']",2 baths,1000.0,Anne Aryelle,3126717,2.0,baths,3126717
191,12802067,8,Saint-Mdard-en-Jalles,50%,100%,Entire home/apt,49,170.0,"['email', 'phone']",2 baths,1000.0,Fabien,3131295,2.0,baths,3131295
192,19109255,432,Bordeaux Maritime,98%,100%,Private room,31,31.0,"['email', 'phone']",1 shared bath,1000.0,Tony,3738130,1.0,shared bath,3738130
193,11683637,531,Bordeaux Sud,54%,90%,Entire home/apt,21,60.0,"['email', 'phone']",1 bath,1000.0,Uldrif,3008158,1.0,bath,3008158
195,19160776,18,Chemin Long,95%,100%,Entire home/apt,23,395.0,"['email', 'phone']",2 baths,1000.0,Celine Et Christophe,3753674,2.0,baths,3753674
196,10186463,36,Bordeaux Sud,55%,90%,Private room,44,40.0,"['email', 'phone']",1 shared bath,1000.0,David Et Delphine,3133891,1.0,shared bath,3133891
197,2281238,40,Bordeaux Sud,100%,100%,Entire home/apt,22,45.0,"['email', 'phone']",1 bath,724.0,Lucie,3018068,1.0,bath,3018068
201,15130444,59,Centre ville (Bordeaux),90%,100%,Entire home/apt,30,90.0,"['email', 'phone']",1 bath,1000.0,Claudine,3048689,1.0,bath,3048689
204,7130789,5,Saint Augustin - Tauzin - Alphonse Dupeux,33%,100%,Entire home/apt,10,75.0,"['email', 'phone']",1 bath,293.0,Didier,3050650,1.0,bath,3050650
205,7519158,149,Nansouty - Saint Gens,44%,50%,Entire home/apt,31,75.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Jm&B,3152942,1.0,bath,3152942
206,17162144,31,Chartrons - Grand Parc - Jardin Public,0%,50%,Private room,23,75.0,"['email', 'phone']",1 shared bath,992.0,Magali,3799160,1.0,shared bath,3799160
209,12595418,206,Centre ville (Bordeaux),99%,100%,Entire home/apt,30,65.0,"['email', 'phone']",1 bath,1000.0,Laurence,3810262,1.0,bath,3810262
210,16017431,211,Parempuyre,82%,100%,Entire home/apt,58,250.0,"['email', 'phone']",2 baths,1000.0,Raphaël,3156633,2.0,baths,3156633
211,10186463,13,Bordeaux Sud,55%,90%,Entire home/apt,25,80.0,"['email', 'phone']",2 baths,1000.0,David Et Delphine,3065931,2.0,baths,3065931
212,16031082,26,Gambetta-Mairie-Lissandre,13%,100%,Entire home/apt,25,87.0,['phone'],1 bath,688.0,Sophie,3159287,1.0,bath,3159287
219,11138696,93,Bordeaux Sud,100%,100%,Entire home/apt,32,86.0,"['email', 'phone']",1 bath,1000.0,Christophe,4586780,1.0,bath,4586780
220,16172955,381,Bordeaux Maritime,80%,100%,Private room,31,41.0,"['email', 'phone']",1 private bath,1000.0,Hélène,3190584,1.0,private bath,3190584
221,15315094,233,Centre ville (Bordeaux),100%,100%,Entire home/apt,31,159.0,"['email', 'phone']",2 baths,1000.0,Xavier,3848661,2.0,baths,3848661
223,14979934,158,Centre ville (Bordeaux),98%,100%,Entire home/apt,24,60.0,"['email', 'phone']",1 bath,526.0,Pascal,4590554,1.0,bath,4590554
225,22951623,6,Gradignan,20%,100%,Entire home/apt,21,70.0,"['email', 'phone']",1 bath,822.0,Emmanuel,4591120,1.0,bath,4591120
226,16300878,6,Bordeaux Sud,50%,100%,Entire home/apt,17,120.0,"['email', 'phone']",1 bath,468.0,Cinzia,3218969,1.0,bath,3218969
227,16057666,204,Centre ville (Bordeaux),98%,100%,Private room,21,80.0,"['email', 'phone']",1 private bath,245.0,Anne,3226950,1.0,private bath,3226950
228,3047849,39,Artigues-Prs-Bordeaux,76%,100%,Entire home/apt,47,190.0,"['email', 'phone']",2 baths,1000.0,Valérie,3908906,2.0,baths,3908906
232,8811801,16,Arlac,76%,100%,Private room,30,50.0,"['email', 'phone']",1 private bath,1000.0,Judith,3941183,1.0,private bath,3941183
234,9382960,16,Centre ville (Bordeaux),93%,94%,Entire home/apt,36,219.0,"['email', 'phone']",1.5 baths,1000.0,Kareen,3233259,1.5,baths,3233259
235,6678424,48,Verthamon,98%,100%,Entire home/apt,32,46.0,"['email', 'phone']",1 bath,253.0,Fabrice,4612001,1.0,bath,4612001
